Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases
29/02/2020 17:00;ITA;Molise;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Piemonte;7;0;7;4;11;0;0;0;11
29/02/2020 17:00;ITA;Puglia;1;0;1;2;3;0;0;0;3
29/02/2020 17:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Sicilia;1;0;1;1;2;0;2;0;4
29/02/2020 17:00;ITA;Toscana;7;0;7;3;10;3;1;0;11
29/02/2020 17:00;ITA;Umbria;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Veneto;24;11;35;154;189;40;0;2;191
29/02/2020 17:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1
01/03/2020 17:00;ITA;Abruzzo;3;0;3;2;5;3;0;0;5
01/03/2020 17:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0
01/03/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1
01/03/2020 17:00;ITA;Campania;4;0;4;13;17;4;0;0;17
01/03/2020 17:00;ITA;Emilia-Romagna;127;13;140;137;277;68;0;8;285
01/03/2020 17:00;ITA;Friuli Venezia Giulia;0;0;0;6;6;6;0;0;6
01/03/2020 17:00;ITA;Lazio;3;0;3;0;3;0;3;0;6
01/03/2020 17:00;ITA;Liguria;12;1;13;8;21;-17;4;0;25
01/03/2020 17:00;ITA;Lombardia;406;106;512;375;887;369;73;24;984
01/03/2020 17:00;ITA;Marche;12;5;17;8;25;14;0;0;25
01/03/2020 17:00;ITA;Molise;0;0;0;0;0;0;0;0;0
01/03/2020 17:00;ITA;Piemonte;11;2;13;36;49;38;0;0;49
01/03/2020 17:00;ITA;Puglia;1;0;1;2;3;0;0;0;3
01/03/2020 17:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0
01/03/2020 17:00;ITA;Sicilia;1;0;1;6;7;5;2;0;9
01/03/2020 17:00;ITA;Toscana;7;0;7;5;12;2;1;0;13
01/03/2020 17:00;ITA;Umbria;0;0;0;2;2;2;0;0;2
01/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
01/03/2020 17:00;ITA;Veneto;51;13;64;197;261;72;0;2;263
01/03/2020 17:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1
