Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases;Ripartizioni geografiche;;;;;
03/03/2020 18:00;ITA;Trentino Alto Adige;1;0;1;3;4;4;0;0;4;Nord-est;;;;;
03/03/2020 18:00;ITA;Piemonte;13;3;16;40;56;5;0;0;56;Nord-ovest;;;;;
03/03/2020 18:00;ITA;Puglia;2;0;2;4;6;2;0;0;6;Sud;;;;;
03/03/2020 18:00;ITA;Sardegna;1;0;1;0;1;1;0;0;1;Isole;;;;;
03/03/2020 18:00;ITA;Sicilia;2;0;2;3;5;0;2;0;7;Isole;;;;;
03/03/2020 18:00;ITA;Toscana;10;0;10;8;18;6;1;0;19;Centro;;;;;
03/03/2020 18:00;ITA;Umbria;1;1;2;6;8;6;0;0;8;Centro;;;;;
03/03/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
03/03/2020 18:00;ITA;Veneto;49;19;68;229;297;34;7;3;307;Nord-est;;;;;
04/03/2020 17:00;ITA;Abruzzo;7;0;7;0;7;1;0;0;7;Sud;;;;;
04/03/2020 17:00;ITA;Basilicata;0;0;0;1;1;0;0;0;1;Sud;;;;;
04/03/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1;Sud;;;;;
04/03/2020 17:00;ITA;Campania;11;0;11;20;31;1;0;0;31;Sud;;;;;
04/03/2020 17:00;ITA;Emilia-Romagna;256;26;282;234;516;124;6;22;544;Nord-est;;;;;
04/03/2020 17:00;ITA;Friuli Venezia Giulia;3;0;3;15;18;5;0;0;18;Nord-est;;;;;
04/03/2020 17:00;ITA;Lazio;15;3;18;9;27;16;3;0;30;Centro;;;;;
04/03/2020 17:00;ITA;Liguria;10;3;13;8;21;2;4;1;26;Nord-ovest;;;;;
04/03/2020 17:00;ITA;Lombardia;877;209;1086;411;1497;300;250;73;1820;Nord-ovest;;;;;
04/03/2020 17:00;ITA;Marche;34;15;49;31;80;23;0;4;84;Centro;;;;;
04/03/2020 17:00;ITA;Molise;3;0;3;0;3;0;0;0;3;Sud;;;;;
04/03/2020 17:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
04/03/2020 17:00;ITA;Trentino Alto Adige;1;0;1;4;5;1;0;0;5;Nord-est;;;;;
04/03/2020 17:00;ITA;Piemonte;26;13;39;43;82;26;0;0;82;Nord-ovest;;;;;
04/03/2020 17:00;ITA;Puglia;4;0;4;3;7;3;1;1;9;Sud;;;;;
04/03/2020 17:00;ITA;Sardegna;1;0;1;1;2;1;0;0;2;Isole;;;;;
04/03/2020 17:00;ITA;Sicilia;5;0;5;11;16;11;2;0;18;Isole;;;;;
04/03/2020 17:00;ITA;Toscana;15;2;17;20;37;19;1;0;38;Centro;;;;;
04/03/2020 17:00;ITA;Umbria;1;1;2;7;9;1;0;0;9;Centro;;;;;
04/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
04/03/2020 17:00;ITA;Veneto;76;23;99;246;345;53;9;6;360;Nord-est;;;;;
05/03/2020 17:00;ITA;Abruzzo;8;0;8;0;8;1;0;0;8;Sud;;;;;
05/03/2020 17:00;ITA;Basilicata;0;0;0;1;1;0;0;0;1;Sud;;;;;
05/03/2020 17:00;ITA;Calabria;1;0;1;1;2;1;0;0;2;Sud;;;;;
05/03/2020 17:00;ITA;Campania;12;0;12;33;45;14;0;0;45;Sud;;;;;
05/03/2020 17:00;ITA;Emilia-Romagna;327;32;359;299;658;154;10;30;698;Nord-est;;;;;
05/03/2020 17:00;ITA;Friuli Venezia Giulia;4;0;4;17;21;3;0;0;21;Nord-est;;;;;
05/03/2020 17:00;ITA;Lazio;20;7;27;14;41;14;3;0;44;Centro;;;;;
05/03/2020 17:00;ITA;Liguria;11;3;14;7;21;2;4;3;28;Nord-ovest;;;;;
05/03/2020 17:00;ITA;Lombardia;1169;244;1413;364;1777;431;376;98;2251;Nord-ovest;;;;;
05/03/2020 17:00;ITA;Marche;57;19;76;44;120;40;0;4;124;Centro;;;;;
05/03/2020 17:00;ITA;Molise;4;0;4;3;7;4;0;0;7;Sud;;;;;
05/03/2020 17:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
05/03/2020 17:00;ITA;Trentino Alto Adige;2;0;2;5;7;2;0;0;7;Nord-est;;;;;
05/03/2020 17:00;ITA;Piemonte;43;17;60;46;106;26;0;2;108;Nord-ovest;;;;;
05/03/2020 17:00;ITA;Puglia;5;1;6;6;12;5;1;1;14;Sud;;;;;
